구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),위치업데이트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.058388888888,37.6514611111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135056000,서울특별시,노원구,월계1동,61,128,127,3,54.32,37,37,2.35,127.065088888888,37.6173194444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135057000,서울특별시,노원구,월계2동,61,128,127,3,10.79,37,37,47.14,127.052997222222,37.6297611111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135058000,서울특별시,노원구,월계3동,61,128,127,4,16.79,37,37,5.54,127.071330555555,37.6182055555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135059500,서울특별시,노원구,공릉1동,61,128,127,4,25.51,37,37,29.02,127.0737518,37.62472748,20140319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135060000,서울특별시,노원구,공릉2동,62,128,127,5,7.59,37,37,6.85,127.085441666666,37.6185694444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135061100,서울특별시,노원구,하계1동,61,128,127,4,29.03,37,38,16.02,127.074730555555,37.6377833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135061200,서울특별시,노원구,하계2동,61,128,127,4,12.4,37,37,45.3,127.070111111111,37.62925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135061900,서울특별시,노원구,중계본동,62,128,127,4,56.84,37,38,42.26,127.082455555555,37.6450722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kor,1135062100,서울특별시,노원구,중계1동,62,129,127,4,46.79,37,38,59.23,127.079663888888,37.6497861111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
